Comment,Designator,Footprint,LCSC
LSHM-120-02.5-L-DV-A-S-TR,"J11,J12,J15,J20,J7,J8",SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,C3654193
BE40A-S-92SP-2-2-08-0152,J3,BE40A-S-92SP-X-2-08,
TestPoint,TP32,Test point top pad,
TestPoint,TP31,Test point top pad,
TestPoint,TP30,Test point top pad,
TestPoint,TP29,Test point top pad,
TestPoint,TP28,Test point top pad,
TestPoint,TP27,Test point top pad,
TestPoint,TP26,Test point top pad,
TestPoint,TP25,Test point top pad,
TestPoint,TP24,Test point top pad,
TestPoint,TP23,Test point top pad,
TestPoint,TP22,Test point top pad,
TestPoint,TP21,Test point top pad,
TestPoint,TP20,Test point top pad,
TestPoint,TP19,Test point top pad,
TestPoint,TP18,Test point top pad,
TestPoint,TP17,Test point top pad,
TestPoint,TP16,Test point top pad,
TestPoint,TP15,Test point top pad,
TestPoint,TP14,Test point top pad,
TestPoint,TP13,Test point top pad,
TestPoint,TP12,Test point top pad,
TestPoint,TP11,Test point top pad,
TestPoint,TP10,Test point top pad,
TestPoint,TP9,Test point top pad,
TestPoint,TP8,Test point top pad,
TestPoint,TP7,Test point top pad,
TestPoint,TP6,Test point top pad,
TestPoint,TP5,Test point top pad,
TestPoint,TP4,Test point top pad,
TestPoint,TP3,Test point top pad,
TestPoint,TP2,Test point top pad,
TestPoint,TP1,Test point top pad,
Conn_01x02,J21,wirebond_2x_500um,
Conn_01x02,J17,wirebond_2x_500um,
Conn_01x08_Pin,J6,wirebond_8x_25mm,
Conn_01x02,J24,wirebond_2x_500um,
Conn_01x02,J18,wirebond_2x_500um,
Conn_01x02,J19,wirebond_2x_500um,
Conn_01x08_Pin,J2,wirebond_8x_25mm,
Conn_01x02,J23,wirebond_2x_500um,
Conn_01x02,J22,wirebond_2x_500um,
Conn_01x08_Pin,J5,wirebond_8x_25mm,
Conn_01x02,J16,wirebond_2x_500um,
Conn_01x10,J10,wirebond_10x_1cm,
Conn_01x10,J14,wirebond_10x_1cm,
Conn_01x10,J9,wirebond_10x_1cm,
BE40A-S-92SP-2-2-08-0152,J4,BE40A-S-92SP-X-2-08,
Conn_01x08_Pin,J1,wirebond_8x_25mm,
Conn_01x10,J13,wirebond_10x_1cm,
